"",Team,Goal,Shot,SH goal,Breakaway,Onetimers,Onetimer goal,Faceoff,Hits,Penalties,EN goal,GP1,GP2,GP3,GOT,PP
Home,STL,3,6,0,0,1,1,4,30,0,0,1,0,2,0,0/2
Away,CBJ,9,20,2,2,5,1,19,37,2,0,3,2,4,0,0/0
