"",Team,Goal,Shot,SH goal,Breakaway,Onetimers,Onetimer goal,Faceoff,Hits,Penalties,EN goal,GP1,GP2,GP3,GOT,PP
Home,MIN,3,20,0,1,1,1,12,42,1,0,1,2,0,0,0/0
Away,NYR,4,26,0,2,5,1,10,51,1,0,1,0,2,1,0/0
