Player Name,Team,Pos,Time,Goal,Asst,PIMS,+/-,PPG/GA,SHG/ENG,Shoot/SA,Hits,Player ID
Landeskog Gabriel,COL,Player,15:04,0,0,0,0,0,0,6,2,1157
Nichushkin Valery,COL,Player,15:54,0,1,0,1,0,0,3,3,2145
Cogliano Andrew,COL,Player,15:02,1,1,0,1,0,0,3,1,5163
Galchenyuk Alex,COL,Player,15:13,0,0,0,-3,0,0,4,1,1690
Johnson Erik,COL,Player,21:48,0,0,0,0,0,0,0,2,5288
MacKinnon Nathan,COL,Player,14:20,0,0,0,-1,0,0,2,1,3917
Makar Cale,COL,Player,21:43,0,0,0,-1,0,0,0,5,4146
MacDermid Kurtis,COL,Player,18:16,0,0,0,0,0,0,0,4,1114
Toews Devon,COL,Player,17:19,0,0,0,0,0,0,0,2,3708
Lehkonen Artturi,COL,Player,14:41,2,0,0,1,0,0,3,1,3216
Newhook Alex,COL,Player,13:41,0,1,0,1,0,0,1,4,6560
Rantanen Mikko,COL,Player,13:52,0,0,0,0,0,0,2,0,5444
O'Connor Logan,COL,Player,16:55,1,0,0,1,0,0,3,4,6576
Rodrigues Evan,COL,Player,16:03,0,1,0,-2,0,0,1,2,6126
Manson Josh,COL,Player,19:56,0,1,0,-1,0,0,0,5,5585
Compher J.T.,COL,Player,15:56,0,1,0,1,0,0,3,2,5937
Helm Darren,COL,Player,13:19,0,0,0,-3,0,0,1,3,5382
Girard Samuel,COL,Player,20:58,0,1,0,0,0,0,0,2,6118
Georgiev Alexander,COL,Goalie,40:00,-,1,0,-,4,0,19,-,482
Francouz Pavel,COL,Goalie,20:00,-,0,0,-,1,0,2,-,2460
Suzuki Nick,MTL,Player,17:19,0,0,0,0,0,0,4,3,1922
Gallagher Brendan,MTL,Player,16:28,0,0,0,-1,0,0,2,5,2699
Drouin Jonathan,MTL,Player,15:52,0,2,0,1,0,0,2,1,2499
Anderson Josh,MTL,Player,17:54,0,0,0,-1,0,0,1,3,4955
Guhle Kaiden,MTL,Player,23:20,0,0,0,1,0,0,0,3,6615
Slafkovsky Juraj,MTL,Player,16:58,0,1,0,1,0,0,0,1,6616
Dadonov Evgeny,MTL,Player,17:53,0,1,0,-1,0,0,2,1,4051
Savard David,MTL,Player,17:43,0,0,0,-1,0,0,0,3,4423
Evans Jake,MTL,Player,10:08,1,0,0,0,0,0,1,1,3818
Matheson Michael,MTL,Player,16:35,0,0,0,0,0,0,1,4,6057
Caufield Cole,MTL,Player,16:58,0,3,0,2,0,0,0,0,6558
Dach Kirby,MTL,Player,08:41,0,0,0,1,0,0,0,1,3937
Monahan Sean,MTL,Player,17:20,1,0,0,0,0,0,2,2,5281
Edmundson Joel,MTL,Player,24:45,0,0,0,2,0,0,0,6,4557
Dvorak Christian,MTL,Player,15:13,3,0,0,1,0,0,4,4,6034
Hoffman Mike,MTL,Player,09:16,0,1,0,0,0,0,2,1,2611
Wideman Chris,MTL,Player,20:05,0,1,0,0,0,0,0,5,4184
Bowey Madison,MTL,Player,17:32,0,0,0,0,0,0,0,7,6201
Price Carey,MTL,Goalie,60:00,-,0,0,-,4,0,32,-,5153
Allen Jake,MTL,Goalie,00:00,-,0,0,-,0,0,0,-,5824
